GAME,DATE,NUMBERS,MB,MP,JACKPOT
"MEGAMILLIONS","11/14/2014","03-49-61-62-68","15","5","ROLLOVER",
"MEGAMILLIONS","11/11/2014","23-25-28-30-75","11","5","ROLLOVER",
"MEGAMILLIONS","11/07/2014","31-35-41-65-66","5","5","ROLLOVER",
"MEGAMILLIONS","11/04/2014","09-15-24-39-41","1","4","NY",
"MEGAMILLIONS","10/31/2014","11-29-36-58-67","15","2","ROLLOVER",
"MEGAMILLIONS","10/28/2014","03-50-57-58-60","11","5","ROLLOVER",
"MEGAMILLIONS","10/24/2014","02-14-21-28-55","3","3","ROLLOVER",
"MEGAMILLIONS","10/21/2014","05-35-37-41-66","11","5","ROLLOVER",
"MEGAMILLIONS","10/17/2014","21-31-43-56-60","12","4","ROLLOVER",
"MEGAMILLIONS","10/14/2014","11-37-46-64-68","15","3","ROLLOVER",
"MEGAMILLIONS","10/10/2014","02-32-35-50-59","3","5","ROLLOVER",
"MEGAMILLIONS","10/07/2014","16-29-46-48-55","2","3","ROLLOVER",
"MEGAMILLIONS","10/03/2014","03-20-34-58-67","6","3","ROLLOVER",
"MEGAMILLIONS","09/30/2014","03-16-52-54-61","6","5","ROLLOVER",
"MEGAMILLIONS","09/26/2014","17-26-35-46-62","9","5","ROLLOVER",
"MEGAMILLIONS","09/23/2014","21-24-25-40-43","12","5","ROLLOVER",
"MEGAMILLIONS","09/19/2014","16-25-27-29-34","2","2","ROLLOVER",
"MEGAMILLIONS","09/16/2014","25-45-51-53-73","2","2","ROLLOVER",
"MEGAMILLIONS","09/12/2014","18-28-33-36-42","7","3","ROLLOVER",
"MEGAMILLIONS","09/09/2014","25-34-55-70-71","1","4","ROLLOVER",
"MEGAMILLIONS","09/05/2014","07-12-20-24-59","7","2","ROLLOVER",
"MEGAMILLIONS","09/02/2014","01-08-54-69-72","1","3","ROLLOVER",
"MEGAMILLIONS","08/29/2014","03-26-45-58-73","12","2","ROLLOVER",
"MEGAMILLIONS","08/26/2014","29-31-51-60-64","1","5","ROLLOVER",
"MEGAMILLIONS","08/22/2014","05-31-34-41-74","3","5","$180,000,000 - CA",
"MEGAMILLIONS","08/19/2014","22-39-56-67-71","15","4","ROLLOVER",
"MEGAMILLIONS","08/15/2014","16-19-28-29-68","9","2","ROLLOVER",
"MEGAMILLIONS","08/12/2014","32-53-60-63-68","6","4","ROLLOVER",
"MEGAMILLIONS","08/08/2014","09-16-61-70-75","7","5","ROLLOVER",
"MEGAMILLIONS","08/05/2014","25-28-36-45-53","6","5","ROLLOVER",
"MEGAMILLIONS","08/01/2014","13-29-34-37-72","6","5","ROLLOVER",
"MEGAMILLIONS","07/29/2014","02-08-16-43-74","1","4","ROLLOVER",
"MEGAMILLIONS","07/25/2014","22-29-33-41-68","12","5","ROLLOVER",
"MEGAMILLIONS","07/22/2014","14-18-22-31-47","15","3","ROLLOVER",
"MEGAMILLIONS","07/18/2014","05-08-59-65-72","3","3","ROLLOVER",
"MEGAMILLIONS","07/15/2014","02-04-17-36-40","5","2","ROLLOVER",
"MEGAMILLIONS","07/11/2014","09-13-30-35-69","10","5","ROLLOVER",
"MEGAMILLIONS","07/08/2014","14-25-27-48-49","9","5","ROLLOVER",
"MEGAMILLIONS","07/04/2014","16-33-39-58-69","2","5","ROLLOVER",
"MEGAMILLIONS","07/01/2014","09-22-38-47-49","15","3","ROLLOVER",
"MEGAMILLIONS","06/27/2014","15-29-31-46-64","10","3","$33,000,000 - TX",
"MEGAMILLIONS","06/24/2014","13-17-24-47-65","10","4","ROLLOVER",
"MEGAMILLIONS","06/20/2014","01-22-25-29-56","3","5","ROLLOVER",
"MEGAMILLIONS","06/17/2014","10-14-24-47-60","3","4","ROLLOVER",
"MEGAMILLIONS","06/13/2014","07-38-46-49-56","1","5","$66,000,000 - MI",
"MEGAMILLIONS","06/10/2014","02-10-24-26-74","7","5","ROLLOVER",
"MEGAMILLIONS","06/06/2014","12-29-37-49-72","9","4","ROLLOVER",
"MEGAMILLIONS","06/03/2014","19-28-62-66-74","6","3","ROLLOVER",
"MEGAMILLIONS","05/30/2014","10-13-42-43-62","2","4","ROLLOVER",
"MEGAMILLIONS","05/27/2014","01-06-10-46-58","13","2","ROLLOVER",
"MEGAMILLIONS","05/23/2014","12-14-21-38-70","15","4","ROLLOVER",
"MEGAMILLIONS","05/20/2014","10-40-63-64-69","7","2","$149,000,000 - PA",
"MEGAMILLIONS","05/16/2014","13-14-16-50-56","11","5","ROLLOVER",
"MEGAMILLIONS","05/13/2014","37-46-48-70-74","1","2","ROLLOVER",
"MEGAMILLIONS","05/09/2014","10-28-39-51-59","14","2","ROLLOVER",
"MEGAMILLIONS","05/06/2014","18-20-27-48-51","5","3","ROLLOVER",
"MEGAMILLIONS","05/02/2014","01-18-26-35-40","13","5","ROLLOVER",
"MEGAMILLIONS","04/29/2014","07-43-59-61-66","3","3","ROLLOVER",
"MEGAMILLIONS","04/25/2014","03-11-18-20-66","9","2","ROLLOVER",
"MEGAMILLIONS","04/22/2014","02-18-19-49-50","1","3","ROLLOVER",
"MEGAMILLIONS","04/18/2014","18-25-38-45-63","9","2","ROLLOVER",
"MEGAMILLIONS","04/15/2014","04-39-46-47-70","13","3","ROLLOVER",
"MEGAMILLIONS","04/11/2014","03-42-44-47-57","8","5","ROLLOVER",
"MEGAMILLIONS","04/08/2014","35-36-41-60-71","3","3","ROLLOVER",
"MEGAMILLIONS","04/04/2014","01-10-15-41-54","9","2","$30,000,000 - CA",
"MEGAMILLIONS","04/01/2014","10-23-68-74-75","9","5","ROLLOVER",
"MEGAMILLIONS","03/28/2014","02-03-09-50-73","12","3","ROLLOVER",
"MEGAMILLIONS","03/25/2014","19-26-51-57-73","15","3","$20,000,000 - NY",
"MEGAMILLIONS","03/21/2014","02-23-30-35-53","10","5","ROLLOVER",
"MEGAMILLIONS","03/18/2014","11-19-24-33-51","7","3","$400,000,000 - FL, MD",
"MEGAMILLIONS","03/14/2014","07-20-40-54-69","12","3","ROLLOVER",
"MEGAMILLIONS","03/11/2014","09-14-56-57-69","10","4","ROLLOVER",
"MEGAMILLIONS","03/07/2014","11-13-51-57-69","1","4","ROLLOVER",
"MEGAMILLIONS","03/04/2014","10-29-31-35-45","10","2","ROLLOVER",
"MEGAMILLIONS","02/28/2014","03-31-50-58-59","6","4","ROLLOVER",
"MEGAMILLIONS","02/25/2014","12-18-25-35-66","15","5","ROLLOVER",
"MEGAMILLIONS","02/21/2014","23-29-32-45-46","15","5","ROLLOVER",
"MEGAMILLIONS","02/18/2014","23-29-31-37-70","14","5","ROLLOVER",
"MEGAMILLIONS","02/14/2014","20-28-35-71-72","7","3","ROLLOVER",
"MEGAMILLIONS","02/11/2014","43-64-67-71-73","4","2","ROLLOVER",
"MEGAMILLIONS","02/07/2014","11-21-23-35-64","10","3","ROLLOVER",
"MEGAMILLIONS","02/04/2014","25-44-49-60-73","9","3","ROLLOVER",
"MEGAMILLIONS","01/31/2014","03-09-13-47-52","8","4","ROLLOVER",
"MEGAMILLIONS","01/28/2014","07-16-28-53-60","2","3","ROLLOVER",
"MEGAMILLIONS","01/24/2014","22-45-46-47-65","10","5","ROLLOVER",
"MEGAMILLIONS","01/21/2014","08-23-33-45-52","4","4","ROLLOVER",
"MEGAMILLIONS","01/17/2014","01-10-26-31-51","11","4","ROLLOVER",
"MEGAMILLIONS","01/14/2014","04-23-26-62-69","13","3","ROLLOVER",
"MEGAMILLIONS","01/10/2014","08-28-36-37-57","8","3","ROLLOVER",
"MEGAMILLIONS","01/07/2014","13-34-56-62-64","6","5","ROLLOVER",
"MEGAMILLIONS","01/03/2014","22-24-25-40-70","5","5","$61,000,000 - TN",
"MEGAMILLIONS","12/31/2013","08-12-34-52-58","8","3","ROLLOVER",
